date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:55	12421/12421	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:19%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0024-300x169.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0024-300x169.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:50:56	57317/57317	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Aug%202018%2007:48:57%20GMT	https://dokari.co.id/post/armada-mobil/amp/	/home/rifky/websites/dokari/dokari.co.id/post/armada-mobil/amp/index.html	(from https://dokari.co.id/post/armada-mobil/)
14:50:56	13517/13517	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:18%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0019-300x300.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0019-300x300.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:50:57	10009/10009	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:19%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0020-300x169.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0020-300x169.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:50:58	9828/9828	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2011:13:26%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0029.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0029.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:50:59	12633/12633	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202017%2007:19:10%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG_20161021_213744-1-300x225.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG_20161021_213744-1-300x225.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:00	23625/23625	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:17%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0018-300x300.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0018-300x300.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:01	9869/9869	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:15%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0027-300x112.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0027-300x112.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:02	18949/18949	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:15%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0022-300x300.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0022-300x300.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:03	17458/17458	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:03%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170417-WA0005-300x300.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170417-WA0005-300x300.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:04	18949/18949	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:12%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0015-300x300.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0015-300x300.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:05	13795/13795	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:13%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0017-300x169.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0017-300x169.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:06	15899/15899	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:13%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0016-300x169.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0016-300x169.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:07	15693/15693	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:02%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170417-WA0004-300x225.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170417-WA0004-300x225.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:08	10822/10822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202017%2017:32:20%20GMT	https://dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0025-300x169.jpg	/home/rifky/websites/dokari/dokari.co.id/wp-content/uploads/2017/04/IMG-20170416-WA0025-300x169.jpg	(from https://dokari.co.id/post/armada-mobil/)
14:51:10	2513/2513	---MC-	200	added ('OK')	application/json	date:Sun,%2020%20Jan%202019%2007:51:09%20GMT	https://dokari.co.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdokari.co.id%2Fpost%2Fmenikmati-perjalanan-travel-lampung-dokari-tranz%2F	/home/rifky/websites/dokari/dokari.co.id/wp-json/oembed/1.0/embedaf78.json	(from https://dokari.co.id/post/menikmati-perjalanan-travel-lampung-dokari-tranz/)
14:51:11	2645/2645	---MC-	200	added ('OK')	text/xml	date:Sun,%2020%20Jan%202019%2007:51:10%20GMT	https://dokari.co.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdokari.co.id%2Fpost%2Fmenikmati-perjalanan-travel-lampung-dokari-tranz%2F&format=xml	/home/rifky/websites/dokari/dokari.co.id/wp-json/oembed/1.0/embedad5a	(from https://dokari.co.id/post/menikmati-perjalanan-travel-lampung-dokari-tranz/)
